Was heißt eigentlich „BOKraft“?,Handelsgesetz,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr.,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Für welchen Geltungsbereich findet die BOKraft Anwendung?,Handelsgesetz,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr.,Für Unternehmen. die Fahrgäste mit Kfz oder Obussen befördern. soweit sie den Vorschriften des PBefG unterliegen,Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Was ist in der BOKraft im wesentlichen geregelt?,Vorschriften über den Betrieb (Betriebsleitung. Fahrdienst. Fahrgäste. Beförderungspflicht),Vorschriften über die Ausrüstung und Beschaffenheit der Fahrzeuge,Sondervorschriften der einzelnen Verkehrsarten.,Sondervorschriften über die Untersuchung der Fahrzeuge,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Welche Pflichten hat der Unternehmer nach BOKraft? Wofür ist der Unternehmer verantwortlich?,Vorschriften über den Betrieb (Betriebsleitung. Fahrdienst. Fahrgäste. Beförderungspflicht),Vorschriften über die Ausrüstung und Beschaffenheit der Fahrzeuge,Sondervorschriften der einzelnen Verkehrsarten.,Sondervorschriften über die Untersuchung der Fahrzeuge,Er muss kontrollieren. dass die Vorschriften des PBefG. der BOKraft und behördlich ergangene Anordnungen. in seinem Betrieb befolgt werden,der Betrieb ordnungsgemäß geführt wird,sich Fahrzeuge und Betriebsanlagen in vorschriftsmäßigem Zustand befinden,nur Fahrpersonal eingesetzt wird. das grundsätzlich eine sichere Beförderung gewährleistet.,
Nennen Sie den wesentlichen Inhalt einer Dienstanweisung. Welchen Inhalt hat eine Dienstanweisung?,Vorschriften über den Betrieb (Betriebsleitung. Fahrdienst. Fahrgäste. Beförderungspflicht),Vorschriften über die Ausrüstung und Beschaffenheit der Fahrzeuge,Bestimmungen über den Aufgabenbereich. die Verantwortlichkeit und das Verhalten des Betriebspersonals während des Dienstes und,über Maßnahmen bei Unfällen oder Betriebsstörungen.,Er muss kontrollieren. dass die Vorschriften des PBefG. der BOKraft und behördlich ergangene Anordnungen. in seinem Betrieb befolgt werden,der Betrieb ordnungsgemäß geführt wird,sich Fahrzeuge und Betriebsanlagen in vorschriftsmäßigem Zustand befinden,nur Fahrpersonal eingesetzt wird. das grundsätzlich eine sichere Beförderung gewährleistet.,
Was kann in Dienstplänen für den Taxiverkehr geregelt sein?,Vorschriften über den Betrieb (Betriebsleitung. Fahrdienst. Fahrgäste. Beförderungspflicht),Vorschriften über die Ausrüstung und Beschaffenheit der Fahrzeuge,Bestimmungen über den Aufgabenbereich. die Verantwortlichkeit und das Verhalten des Betriebspersonals während des Dienstes und,über Maßnahmen bei Unfällen oder Betriebsstörungen.,Er muss kontrollieren. dass die Vorschriften des PBefG. der BOKraft und behördlich ergangene Anordnungen. in seinem Betrieb befolgt werden,ein zeitlich und örtlich dem Verkehrsbedürfnis entsprechendes Taxiangebot zu gewährleisten,sich Fahrzeuge und Betriebsanlagen in vorschriftsmäßigem Zustand befinden,nur Fahrpersonal eingesetzt wird. das grundsätzlich eine sichere Beförderung gewährleistet.,
Was versteht man unter einem Betriebsleiter?,Bestimmungen über den Aufgabenbereich. die Verantwortlichkeit und das Verhalten des Betriebspersonals während des Dienstes und,über Maßnahmen bei Unfällen oder Betriebsstörungen.,Er muss kontrollieren. dass die Vorschriften des PBefG. der BOKraft und behördlich ergangene Anordnungen. in seinem Betrieb befolgt werden,ein zeitlich und örtlich dem Verkehrsbedürfnis entsprechendes Taxiangebot zu gewährleisten,Ein Betriebsleiter ist ein vom Unternehmer eingesetzter Angestellter. der die Pflichten des Unternehmers wahrzunehmen hat. ohne diesen dadurch aus seiner eigenen Verantwortung für den Betrieb zu entlassen,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Gibt es Fälle. in denen ein Betriebsleiter bestellt werden muss?,Wenn es die Genehmigungsbehörde anordnet.,über Maßnahmen bei Unfällen oder Betriebsstörungen.,wenn im Unternehmen regelmäßig mehr als 10 Kfz verwendet werden oder,ein zeitlich und örtlich dem Verkehrsbedürfnis entsprechendes Taxiangebot zu gewährleisten,wenn andere betriebliche Umstände (z.B. Niederlassungen) dafür sprechen,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Welche Vorkommnisse müssen der Genehmigungsbehörde gemeldet werden?,über Maßnahmen bei Unfällen oder Betriebsstörungen.,Betriebsvorkommnisse. die ein öffentliches Aufsehen erregen (z.B. Unfall. Brand. Gebäudeeinsturz auf dem Betriebsgelände),wenn im Unternehmen regelmäßig mehr als 10 Kfz verwendet werden oder,Unfälle. bei denen ein Mensch getötet oder schwer verletzt worden ist und,wenn andere betriebliche Umstände (z.B. Niederlassungen) dafür sprechen,Betriebsstörungen (z.B. Streik. Naturkatastrophen) im Obusverkehr und im Linienverkehr mit Kfz. die voraussichtlich länger als 24 Std. dauern,Pflege-. 1.95%,Unfallversicherung,
Wie haben sich Taxifahrer im Allgemeinen gegenüber ihren Fahrgästen zu verhalten?,über Maßnahmen bei Unfällen oder Betriebsstörungen.,Betriebsvorkommnisse. die ein öffentliches Aufsehen erregen (z.B. Unfall. Brand. Gebäudeeinsturz auf dem Betriebsgelände),Das Fahrpersonal hat sich rücksichtsvoll und besonnen zu verhalten.,Unfälle. bei denen ein Mensch getötet oder schwer verletzt worden ist und,wenn andere betriebliche Umstände (z.B. Niederlassungen) dafür sprechen,Betriebsstörungen (z.B. Streik. Naturkatastrophen) im Obusverkehr und im Linienverkehr mit Kfz. die voraussichtlich länger als 24 Std. dauern,Pflege-. 1.95%,Unfallversicherung,
Welche Regeln hat das Fahrpersonal im Fahrdienst zu beachten?,Das Fahrpersonal hat sich rücksichtsvoll und besonnen zu verhalten.,Verbot der Fahrtätigkeit bei bestimmten. übertragbaren Krankheiten (Diphtherie. Lungentuberkulose etc.),wenn andere betriebliche Umstände (z.B. Niederlassungen) dafür sprechen,kein Fernsehempfänger (während der Fahrt);,Das Fahrpersonal hat sich rücksichtsvoll und besonnen zu verhalten.,Gebot eines rücksichtsvollen und besonnen Verhaltens. • Keine alkoholischen Getränke oder die Fahrtüchtigkeit beeinträchtigenden Mittel (weder während der Fahrt noch beim Fahrantritt unter ihrer Wirkung stehen),Unfallversicherung,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,
