Welches sind die wichtigsten Rechtsgrundlagen des deutschen Straßenverkehrsrechts?,Straßenverkehrsgesetz (StVG),Straßenverkehrsordnung (StVO),Fahrerlaubnisverordnung (FeV) und,Straßenverkehrszulassungsordnung (StVZO),Verbandskasten,Warnweste,Warndreieck,Warnblinkanlage
Was ist in der StVO und in der StVZO geregelt?,Warnblinkanlage,StVO regelt öffentlicher Verkehr. Grundregel - die Teilnahme am Straßenverkehr erfordert ständige Vorsich,Ausreichender Bremsflüssigkeitsstand,StVZO regelt die Teilnahme von Personen im allgemeinen und bestimmt ab wann eine Zulassung Einschränkung oder Entziehung der Zulassung erfolgen kan,ab 11 Entzug der Fahrererlaubnis.,Bremstest,Straßenverkehrsordnung (StVO),Straßenverkehrszulassungsordnung (StVZO)
Was regelt der § 1 StVO?,Warnblinkanlage,Zeugen festhalten,Jeder Verkehrsteilnehmer hat sich so zu verhalten dass kein anderer geschädigt gefährdet behindert oder belästigt wird.,Verlust ist der Zulassungsstelle zu melden.,Ausreichender Bremsflüssigkeitsstand,Ausreichender Bremsflüssigkeitsstand,Straßenverkehrsordnung (StVO),Warnblinkanlage
Gibt es Unterschiede beim Taxizum Mietwagenverkehr in Bezug auf die weiterhin erforderliche Ortskenntnis?,wenn der Fahrer einen Taxi führen soll muss er die Ortskenntnisse im Pflichtfahrbereich nachzuweisen,Ausreichender Bremsflüssigkeitsstand,wenn der Fahrer einen Mietwagen führen soll muss er die Ortskenntnisse des Ortes nachweisen an dem der Betriebssitz ist (gilt nur in Orten mit mehr als 50.000 Ein.,ab 11 Entzug der Fahrererlaubnis.,Bremstest,Straßenverkehrsordnung (StVO),Ausreichender Bremsflüssigkeitsstand,Warnblinkanlage
Werden Fahrerlaubnisse unbefristet erteilt?,Zeugen festhalten,allgemeine Fahrerlaubnis unbefristet erteilt,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,• Fahrerlaubnis zur Fahrgastbeförderung für 5 Jahre erteilt,Ausreichender Bremsflüssigkeitsstand,Straßenverkehrsordnung (StVO),Ausreichender Bremsflüssigkeitsstand
Welche Voraussetzungen muss man erfüllen um einen Personenbeförderungsschein (Führerschein zur Fahrgastbeförderung) zu bekommen?,muss Führerschein Klasse B seit 2 Jahren haben oder nachweisen dass er einen Führerschein innerhalb der letzten 5 Jahre besessen hat,Verlust ist der Zulassungsstelle zu melden.,muss 21 Jahr alt sein (Krankenwagen - 19 Jahre alt),muss geistig und körperlich geeignet sein ( durch ein amtsärztliches Attest),Ausreichender Bremsflüssigkeitsstand,muss bestimmte Anforderungen an das Sehvermögen erfüllen (durch ein augenärztliches Attest),muss die erforderlichen Ortskenntnisse nachweisen,ab 11 Entzug der Fahrererlaubnis.
Unter welchen Voraussetzungen wird die Fahrerlaubnis zur Fahrgastbeförderung verlängert?,Warnblinkanlage,sich ärztlich untersuchen lässt ob Krankheiten sind welche die Eignung zur Fahrgastbeförderung mit Taxi oder Mietwagen ausschließen.,Bremstest,bestimmte Anforderungen an das Sehvermögen durch augenärztliches Attest nachgewiesen sind,•keine Tatsachen dürfen die Annahme rechtfertigen dass der Bewerber um eine Verlängerung der Fahrerlaubnis zur Fahrgastbeförderung nicht die Gewähr bietet dass er der besonderen Verantwortung bei der Beförderung von Fahrgästen gerecht wird,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Straßenverkehrsordnung (StVO)
Welchen Nachweis muss ein Taxifahrer erbringen der in einem anderen Gebiet Taxi fahren will als in dem für welches er die Ortskenntnis in einer Prüfung nachgewiesen hat?,Er muss die erforderlichen Ortskenntnisse für das Gebiet in dem er tätig wird nachweisen.,Verlust ist der Zulassungsstelle zu melden.,ab 11 Entzug der Fahrererlaubnis.,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Straßenverkehrsordnung (StVO),Ausreichender Bremsflüssigkeitsstand,wer unter erheblicher Wirkung geistiger Getränke oder anderer berauschender Mittel am Verkehr teilgenommen
Welche Voraussetzungen müssen erfüllt sein damit ein Taxi oder Mietwagen als solcher auch zugelassen wird?,Ausreichender Bremsflüssigkeitsstand,Warnblinkanlage,Von erstem Einsatz des Kfz als Taxi- und Mietwagen und wenn solches Kfz länger als 1 Jahr außer Betrieb war muss es einer anerkannten Prüfstelle zur sog. „Außerordentlichen Hauptuntersuchung“ vorgeführt werden. Es werden nicht nur die Bestimmungen der StVZO sondern auch die Bestimmungen der BOKraft überprüft,Ausreichender Bremsflüssigkeitsstand,ein fabrikneues Fahrzeug wird nur die Bestimmungen der BOKraft überprüft,entsprechende Genehmigung nach PBefG vorliegen muss,ab 11 Entzug der Fahrererlaubnis.,Straßenverkehrsordnung (StVO)
Wo sind die Führerscheinklassen geregelt?,Zeugen festhalten,In der Fahrerlaubnisverordnung (Fahrpersonalverordnung).,ab 11 Entzug der Fahrererlaubnis.,Bremstest,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Straßenverkehrsordnung (StVO)
Wann verliert die TÜV-Plakette ihre Gültigkeit?,Zeugen festhalten,Bremstest,Mit Ende des Monates welcher auf ihr notiert ist,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Warnblinkanlage,Verlust ist der Zulassungsstelle zu melden.,Straßenverkehrsordnung (StVO)
